ID,FullPrompt,Topics,Text,NegPos
120,"System: Please output the following [text] according to the [constraints] in the [output format].
 [constraints]* The output should only be in the [output format], and you must classify which part of the text corresponds to which Topic in the [Topics]. Additionally, determine whether each classified element is Positive or Negative. If there is no corresponding element, put Null for both `text` and `label`. No extra characters like newline, `json`, or backticks outside the [output format]. If there are multiple elements for the same Topic, number them. If they have the same label, group them together.* 
 [Topics] Room, Staff, Location, Food, Price, Facility, Check-in, Check-out, Taxi-issue, Booking-issue, Off 

 [output format] {""Topics"":[{""Room"":[{""text"": ""test"",""label"": ""Positive""}],""Staff"":[{""text"": null,""label"": null}],""Location"":[{""text"": ""test"",""label"": ""Positive""}],""Food"":[{""text"": ""test"",""label"": ""Negative""}],""Price"":[{""text"": ""test"",""label"": ""Positive""}],""Facility"":[{""text"": ""test"",""label"": ""Negative""}],""Check-in"":[{""text"": ""test"",""label"": ""Positive""}],""Check-out"":[{""text"": null,""label"": null}],""Taxi-issue"":[{""text"": null,""label"": null}],""Booking-issue"":[{""text"": null,""label"": null}],""Off"":[{""text"": null,""label"": null}]}]}

User: The room is enough big. But the room was a little bit dirty.

Assistant: {""Topics"":[{""Room1"":[{""text"": ""The room is enough big."",""label"": ""Positive""}],""Room2"":[{""text"": ""the room was a little bit dirty."",""label"": ""Negative""}],""Staff"":[{""text"": null,""label"": null}],""Location"":[{""text"": null,""label"": null}],""Food"":[{""text"": null,""label"": null}],""Price"":[{""text"": null,""label"": null}],""Facility"":[{""text"": null,""label"": null}],""Check-in"":[{""text"": null,""label"": null}],""Check-out"":[{""text"": null,""label"": null}],""Taxi-issue"":[{""text"": null,""label"": null}],""Booking-issue"":[{""text"": null,""label"": null}],""Off"":[{""text"": null,""label"": null}]}]}

User: Helpful staff and close to airport",Location,close to airport,Positive
120,"System: Please output the following [text] according to the [constraints] in the [output format].
 [constraints]* The output should only be in the [output format], and you must classify which part of the text corresponds to which Topic in the [Topics]. Additionally, determine whether each classified element is Positive or Negative. If there is no corresponding element, put Null for both `text` and `label`. No extra characters like newline, `json`, or backticks outside the [output format]. If there are multiple elements for the same Topic, number them. If they have the same label, group them together.* 
 [Topics] Room, Staff, Location, Food, Price, Facility, Check-in, Check-out, Taxi-issue, Booking-issue, Off 

 [output format] {""Topics"":[{""Room"":[{""text"": ""test"",""label"": ""Positive""}],""Staff"":[{""text"": null,""label"": null}],""Location"":[{""text"": ""test"",""label"": ""Positive""}],""Food"":[{""text"": ""test"",""label"": ""Negative""}],""Price"":[{""text"": ""test"",""label"": ""Positive""}],""Facility"":[{""text"": ""test"",""label"": ""Negative""}],""Check-in"":[{""text"": ""test"",""label"": ""Positive""}],""Check-out"":[{""text"": null,""label"": null}],""Taxi-issue"":[{""text"": null,""label"": null}],""Booking-issue"":[{""text"": null,""label"": null}],""Off"":[{""text"": null,""label"": null}]}]}

User: The room is enough big. But the room was a little bit dirty.

Assistant: {""Topics"":[{""Room1"":[{""text"": ""The room is enough big."",""label"": ""Positive""}],""Room2"":[{""text"": ""the room was a little bit dirty."",""label"": ""Negative""}],""Staff"":[{""text"": null,""label"": null}],""Location"":[{""text"": null,""label"": null}],""Food"":[{""text"": null,""label"": null}],""Price"":[{""text"": null,""label"": null}],""Facility"":[{""text"": null,""label"": null}],""Check-in"":[{""text"": null,""label"": null}],""Check-out"":[{""text"": null,""label"": null}],""Taxi-issue"":[{""text"": null,""label"": null}],""Booking-issue"":[{""text"": null,""label"": null}],""Off"":[{""text"": null,""label"": null}]}]}

User: Helpful staff and close to airport",Food,,
120,"System: Please output the following [text] according to the [constraints] in the [output format].
 [constraints]* The output should only be in the [output format], and you must classify which part of the text corresponds to which Topic in the [Topics]. Additionally, determine whether each classified element is Positive or Negative. If there is no corresponding element, put Null for both `text` and `label`. No extra characters like newline, `json`, or backticks outside the [output format]. If there are multiple elements for the same Topic, number them. If they have the same label, group them together.* 
 [Topics] Room, Staff, Location, Food, Price, Facility, Check-in, Check-out, Taxi-issue, Booking-issue, Off 

 [output format] {""Topics"":[{""Room"":[{""text"": ""test"",""label"": ""Positive""}],""Staff"":[{""text"": null,""label"": null}],""Location"":[{""text"": ""test"",""label"": ""Positive""}],""Food"":[{""text"": ""test"",""label"": ""Negative""}],""Price"":[{""text"": ""test"",""label"": ""Positive""}],""Facility"":[{""text"": ""test"",""label"": ""Negative""}],""Check-in"":[{""text"": ""test"",""label"": ""Positive""}],""Check-out"":[{""text"": null,""label"": null}],""Taxi-issue"":[{""text"": null,""label"": null}],""Booking-issue"":[{""text"": null,""label"": null}],""Off"":[{""text"": null,""label"": null}]}]}

User: The room is enough big. But the room was a little bit dirty.

Assistant: {""Topics"":[{""Room1"":[{""text"": ""The room is enough big."",""label"": ""Positive""}],""Room2"":[{""text"": ""the room was a little bit dirty."",""label"": ""Negative""}],""Staff"":[{""text"": null,""label"": null}],""Location"":[{""text"": null,""label"": null}],""Food"":[{""text"": null,""label"": null}],""Price"":[{""text"": null,""label"": null}],""Facility"":[{""text"": null,""label"": null}],""Check-in"":[{""text"": null,""label"": null}],""Check-out"":[{""text"": null,""label"": null}],""Taxi-issue"":[{""text"": null,""label"": null}],""Booking-issue"":[{""text"": null,""label"": null}],""Off"":[{""text"": null,""label"": null}]}]}

User: Helpful staff and close to airport",Price,,
120,"System: Please output the following [text] according to the [constraints] in the [output format].
 [constraints]* The output should only be in the [output format], and you must classify which part of the text corresponds to which Topic in the [Topics]. Additionally, determine whether each classified element is Positive or Negative. If there is no corresponding element, put Null for both `text` and `label`. No extra characters like newline, `json`, or backticks outside the [output format]. If there are multiple elements for the same Topic, number them. If they have the same label, group them together.* 
 [Topics] Room, Staff, Location, Food, Price, Facility, Check-in, Check-out, Taxi-issue, Booking-issue, Off 

 [output format] {""Topics"":[{""Room"":[{""text"": ""test"",""label"": ""Positive""}],""Staff"":[{""text"": null,""label"": null}],""Location"":[{""text"": ""test"",""label"": ""Positive""}],""Food"":[{""text"": ""test"",""label"": ""Negative""}],""Price"":[{""text"": ""test"",""label"": ""Positive""}],""Facility"":[{""text"": ""test"",""label"": ""Negative""}],""Check-in"":[{""text"": ""test"",""label"": ""Positive""}],""Check-out"":[{""text"": null,""label"": null}],""Taxi-issue"":[{""text"": null,""label"": null}],""Booking-issue"":[{""text"": null,""label"": null}],""Off"":[{""text"": null,""label"": null}]}]}

User: The room is enough big. But the room was a little bit dirty.

Assistant: {""Topics"":[{""Room1"":[{""text"": ""The room is enough big."",""label"": ""Positive""}],""Room2"":[{""text"": ""the room was a little bit dirty."",""label"": ""Negative""}],""Staff"":[{""text"": null,""label"": null}],""Location"":[{""text"": null,""label"": null}],""Food"":[{""text"": null,""label"": null}],""Price"":[{""text"": null,""label"": null}],""Facility"":[{""text"": null,""label"": null}],""Check-in"":[{""text"": null,""label"": null}],""Check-out"":[{""text"": null,""label"": null}],""Taxi-issue"":[{""text"": null,""label"": null}],""Booking-issue"":[{""text"": null,""label"": null}],""Off"":[{""text"": null,""label"": null}]}]}

User: Helpful staff and close to airport",Facility,,
120,"System: Please output the following [text] according to the [constraints] in the [output format].
 [constraints]* The output should only be in the [output format], and you must classify which part of the text corresponds to which Topic in the [Topics]. Additionally, determine whether each classified element is Positive or Negative. If there is no corresponding element, put Null for both `text` and `label`. No extra characters like newline, `json`, or backticks outside the [output format]. If there are multiple elements for the same Topic, number them. If they have the same label, group them together.* 
 [Topics] Room, Staff, Location, Food, Price, Facility, Check-in, Check-out, Taxi-issue, Booking-issue, Off 

 [output format] {""Topics"":[{""Room"":[{""text"": ""test"",""label"": ""Positive""}],""Staff"":[{""text"": null,""label"": null}],""Location"":[{""text"": ""test"",""label"": ""Positive""}],""Food"":[{""text"": ""test"",""label"": ""Negative""}],""Price"":[{""text"": ""test"",""label"": ""Positive""}],""Facility"":[{""text"": ""test"",""label"": ""Negative""}],""Check-in"":[{""text"": ""test"",""label"": ""Positive""}],""Check-out"":[{""text"": null,""label"": null}],""Taxi-issue"":[{""text"": null,""label"": null}],""Booking-issue"":[{""text"": null,""label"": null}],""Off"":[{""text"": null,""label"": null}]}]}

User: The room is enough big. But the room was a little bit dirty.

Assistant: {""Topics"":[{""Room1"":[{""text"": ""The room is enough big."",""label"": ""Positive""}],""Room2"":[{""text"": ""the room was a little bit dirty."",""label"": ""Negative""}],""Staff"":[{""text"": null,""label"": null}],""Location"":[{""text"": null,""label"": null}],""Food"":[{""text"": null,""label"": null}],""Price"":[{""text"": null,""label"": null}],""Facility"":[{""text"": null,""label"": null}],""Check-in"":[{""text"": null,""label"": null}],""Check-out"":[{""text"": null,""label"": null}],""Taxi-issue"":[{""text"": null,""label"": null}],""Booking-issue"":[{""text"": null,""label"": null}],""Off"":[{""text"": null,""label"": null}]}]}

User: Helpful staff and close to airport",Check-in,,
120,"System: Please output the following [text] according to the [constraints] in the [output format].
 [constraints]* The output should only be in the [output format], and you must classify which part of the text corresponds to which Topic in the [Topics]. Additionally, determine whether each classified element is Positive or Negative. If there is no corresponding element, put Null for both `text` and `label`. No extra characters like newline, `json`, or backticks outside the [output format]. If there are multiple elements for the same Topic, number them. If they have the same label, group them together.* 
 [Topics] Room, Staff, Location, Food, Price, Facility, Check-in, Check-out, Taxi-issue, Booking-issue, Off 

 [output format] {""Topics"":[{""Room"":[{""text"": ""test"",""label"": ""Positive""}],""Staff"":[{""text"": null,""label"": null}],""Location"":[{""text"": ""test"",""label"": ""Positive""}],""Food"":[{""text"": ""test"",""label"": ""Negative""}],""Price"":[{""text"": ""test"",""label"": ""Positive""}],""Facility"":[{""text"": ""test"",""label"": ""Negative""}],""Check-in"":[{""text"": ""test"",""label"": ""Positive""}],""Check-out"":[{""text"": null,""label"": null}],""Taxi-issue"":[{""text"": null,""label"": null}],""Booking-issue"":[{""text"": null,""label"": null}],""Off"":[{""text"": null,""label"": null}]}]}

User: The room is enough big. But the room was a little bit dirty.

Assistant: {""Topics"":[{""Room1"":[{""text"": ""The room is enough big."",""label"": ""Positive""}],""Room2"":[{""text"": ""the room was a little bit dirty."",""label"": ""Negative""}],""Staff"":[{""text"": null,""label"": null}],""Location"":[{""text"": null,""label"": null}],""Food"":[{""text"": null,""label"": null}],""Price"":[{""text"": null,""label"": null}],""Facility"":[{""text"": null,""label"": null}],""Check-in"":[{""text"": null,""label"": null}],""Check-out"":[{""text"": null,""label"": null}],""Taxi-issue"":[{""text"": null,""label"": null}],""Booking-issue"":[{""text"": null,""label"": null}],""Off"":[{""text"": null,""label"": null}]}]}

User: Helpful staff and close to airport",Check-out,,
120,"System: Please output the following [text] according to the [constraints] in the [output format].
 [constraints]* The output should only be in the [output format], and you must classify which part of the text corresponds to which Topic in the [Topics]. Additionally, determine whether each classified element is Positive or Negative. If there is no corresponding element, put Null for both `text` and `label`. No extra characters like newline, `json`, or backticks outside the [output format]. If there are multiple elements for the same Topic, number them. If they have the same label, group them together.* 
 [Topics] Room, Staff, Location, Food, Price, Facility, Check-in, Check-out, Taxi-issue, Booking-issue, Off 

 [output format] {""Topics"":[{""Room"":[{""text"": ""test"",""label"": ""Positive""}],""Staff"":[{""text"": null,""label"": null}],""Location"":[{""text"": ""test"",""label"": ""Positive""}],""Food"":[{""text"": ""test"",""label"": ""Negative""}],""Price"":[{""text"": ""test"",""label"": ""Positive""}],""Facility"":[{""text"": ""test"",""label"": ""Negative""}],""Check-in"":[{""text"": ""test"",""label"": ""Positive""}],""Check-out"":[{""text"": null,""label"": null}],""Taxi-issue"":[{""text"": null,""label"": null}],""Booking-issue"":[{""text"": null,""label"": null}],""Off"":[{""text"": null,""label"": null}]}]}

User: The room is enough big. But the room was a little bit dirty.

Assistant: {""Topics"":[{""Room1"":[{""text"": ""The room is enough big."",""label"": ""Positive""}],""Room2"":[{""text"": ""the room was a little bit dirty."",""label"": ""Negative""}],""Staff"":[{""text"": null,""label"": null}],""Location"":[{""text"": null,""label"": null}],""Food"":[{""text"": null,""label"": null}],""Price"":[{""text"": null,""label"": null}],""Facility"":[{""text"": null,""label"": null}],""Check-in"":[{""text"": null,""label"": null}],""Check-out"":[{""text"": null,""label"": null}],""Taxi-issue"":[{""text"": null,""label"": null}],""Booking-issue"":[{""text"": null,""label"": null}],""Off"":[{""text"": null,""label"": null}]}]}

User: Helpful staff and close to airport",Taxi-issue,,
120,"System: Please output the following [text] according to the [constraints] in the [output format].
 [constraints]* The output should only be in the [output format], and you must classify which part of the text corresponds to which Topic in the [Topics]. Additionally, determine whether each classified element is Positive or Negative. If there is no corresponding element, put Null for both `text` and `label`. No extra characters like newline, `json`, or backticks outside the [output format]. If there are multiple elements for the same Topic, number them. If they have the same label, group them together.* 
 [Topics] Room, Staff, Location, Food, Price, Facility, Check-in, Check-out, Taxi-issue, Booking-issue, Off 

 [output format] {""Topics"":[{""Room"":[{""text"": ""test"",""label"": ""Positive""}],""Staff"":[{""text"": null,""label"": null}],""Location"":[{""text"": ""test"",""label"": ""Positive""}],""Food"":[{""text"": ""test"",""label"": ""Negative""}],""Price"":[{""text"": ""test"",""label"": ""Positive""}],""Facility"":[{""text"": ""test"",""label"": ""Negative""}],""Check-in"":[{""text"": ""test"",""label"": ""Positive""}],""Check-out"":[{""text"": null,""label"": null}],""Taxi-issue"":[{""text"": null,""label"": null}],""Booking-issue"":[{""text"": null,""label"": null}],""Off"":[{""text"": null,""label"": null}]}]}

User: The room is enough big. But the room was a little bit dirty.

Assistant: {""Topics"":[{""Room1"":[{""text"": ""The room is enough big."",""label"": ""Positive""}],""Room2"":[{""text"": ""the room was a little bit dirty."",""label"": ""Negative""}],""Staff"":[{""text"": null,""label"": null}],""Location"":[{""text"": null,""label"": null}],""Food"":[{""text"": null,""label"": null}],""Price"":[{""text"": null,""label"": null}],""Facility"":[{""text"": null,""label"": null}],""Check-in"":[{""text"": null,""label"": null}],""Check-out"":[{""text"": null,""label"": null}],""Taxi-issue"":[{""text"": null,""label"": null}],""Booking-issue"":[{""text"": null,""label"": null}],""Off"":[{""text"": null,""label"": null}]}]}

User: Helpful staff and close to airport",Booking-issue,,
120,"System: Please output the following [text] according to the [constraints] in the [output format].
 [constraints]* The output should only be in the [output format], and you must classify which part of the text corresponds to which Topic in the [Topics]. Additionally, determine whether each classified element is Positive or Negative. If there is no corresponding element, put Null for both `text` and `label`. No extra characters like newline, `json`, or backticks outside the [output format]. If there are multiple elements for the same Topic, number them. If they have the same label, group them together.* 
 [Topics] Room, Staff, Location, Food, Price, Facility, Check-in, Check-out, Taxi-issue, Booking-issue, Off 

 [output format] {""Topics"":[{""Room"":[{""text"": ""test"",""label"": ""Positive""}],""Staff"":[{""text"": null,""label"": null}],""Location"":[{""text"": ""test"",""label"": ""Positive""}],""Food"":[{""text"": ""test"",""label"": ""Negative""}],""Price"":[{""text"": ""test"",""label"": ""Positive""}],""Facility"":[{""text"": ""test"",""label"": ""Negative""}],""Check-in"":[{""text"": ""test"",""label"": ""Positive""}],""Check-out"":[{""text"": null,""label"": null}],""Taxi-issue"":[{""text"": null,""label"": null}],""Booking-issue"":[{""text"": null,""label"": null}],""Off"":[{""text"": null,""label"": null}]}]}

User: The room is enough big. But the room was a little bit dirty.

Assistant: {""Topics"":[{""Room1"":[{""text"": ""The room is enough big."",""label"": ""Positive""}],""Room2"":[{""text"": ""the room was a little bit dirty."",""label"": ""Negative""}],""Staff"":[{""text"": null,""label"": null}],""Location"":[{""text"": null,""label"": null}],""Food"":[{""text"": null,""label"": null}],""Price"":[{""text"": null,""label"": null}],""Facility"":[{""text"": null,""label"": null}],""Check-in"":[{""text"": null,""label"": null}],""Check-out"":[{""text"": null,""label"": null}],""Taxi-issue"":[{""text"": null,""label"": null}],""Booking-issue"":[{""text"": null,""label"": null}],""Off"":[{""text"": null,""label"": null}]}]}

User: Helpful staff and close to airport",Off,,
120,"System: Please output the following [text] according to the [constraints] in the [output format].
 [constraints]* The output should only be in the [output format], and you must classify which part of the text corresponds to which Topic in the [Topics]. Additionally, determine whether each classified element is Positive or Negative. If there is no corresponding element, put Null for both `text` and `label`. No extra characters like newline, `json`, or backticks outside the [output format]. If there are multiple elements for the same Topic, number them. If they have the same label, group them together.* 
 [Topics] Room, Staff, Location, Food, Price, Facility, Check-in, Check-out, Taxi-issue, Booking-issue, Off 

 [output format] {""Topics"":[{""Room"":[{""text"": ""test"",""label"": ""Positive""}],""Staff"":[{""text"": null,""label"": null}],""Location"":[{""text"": ""test"",""label"": ""Positive""}],""Food"":[{""text"": ""test"",""label"": ""Negative""}],""Price"":[{""text"": ""test"",""label"": ""Positive""}],""Facility"":[{""text"": ""test"",""label"": ""Negative""}],""Check-in"":[{""text"": ""test"",""label"": ""Positive""}],""Check-out"":[{""text"": null,""label"": null}],""Taxi-issue"":[{""text"": null,""label"": null}],""Booking-issue"":[{""text"": null,""label"": null}],""Off"":[{""text"": null,""label"": null}]}]}

User: The room is enough big. But the room was a little bit dirty.

Assistant: {""Topics"":[{""Room1"":[{""text"": ""The room is enough big."",""label"": ""Positive""}],""Room2"":[{""text"": ""the room was a little bit dirty."",""label"": ""Negative""}],""Staff"":[{""text"": null,""label"": null}],""Location"":[{""text"": null,""label"": null}],""Food"":[{""text"": null,""label"": null}],""Price"":[{""text"": null,""label"": null}],""Facility"":[{""text"": null,""label"": null}],""Check-in"":[{""text"": null,""label"": null}],""Check-out"":[{""text"": null,""label"": null}],""Taxi-issue"":[{""text"": null,""label"": null}],""Booking-issue"":[{""text"": null,""label"": null}],""Off"":[{""text"": null,""label"": null}]}]}

User: The room was small but adequate",Room1,The room is enough big.,Positive
120,"System: Please output the following [text] according to the [constraints] in the [output format].
 [constraints]* The output should only be in the [output format], and you must classify which part of the text corresponds to which Topic in the [Topics]. Additionally, determine whether each classified element is Positive or Negative. If there is no corresponding element, put Null for both `text` and `label`. No extra characters like newline, `json`, or backticks outside the [output format]. If there are multiple elements for the same Topic, number them. If they have the same label, group them together.* 
 [Topics] Room, Staff, Location, Food, Price, Facility, Check-in, Check-out, Taxi-issue, Booking-issue, Off 

 [output format] {""Topics"":[{""Room"":[{""text"": ""test"",""label"": ""Positive""}],""Staff"":[{""text"": null,""label"": null}],""Location"":[{""text"": ""test"",""label"": ""Positive""}],""Food"":[{""text"": ""test"",""label"": ""Negative""}],""Price"":[{""text"": ""test"",""label"": ""Positive""}],""Facility"":[{""text"": ""test"",""label"": ""Negative""}],""Check-in"":[{""text"": ""test"",""label"": ""Positive""}],""Check-out"":[{""text"": null,""label"": null}],""Taxi-issue"":[{""text"": null,""label"": null}],""Booking-issue"":[{""text"": null,""label"": null}],""Off"":[{""text"": null,""label"": null}]}]}

User: The room is enough big. But the room was a little bit dirty.

Assistant: {""Topics"":[{""Room1"":[{""text"": ""The room is enough big."",""label"": ""Positive""}],""Room2"":[{""text"": ""the room was a little bit dirty."",""label"": ""Negative""}],""Staff"":[{""text"": null,""label"": null}],""Location"":[{""text"": null,""label"": null}],""Food"":[{""text"": null,""label"": null}],""Price"":[{""text"": null,""label"": null}],""Facility"":[{""text"": null,""label"": null}],""Check-in"":[{""text"": null,""label"": null}],""Check-out"":[{""text"": null,""label"": null}],""Taxi-issue"":[{""text"": null,""label"": null}],""Booking-issue"":[{""text"": null,""label"": null}],""Off"":[{""text"": null,""label"": null}]}]}

User: The room was small but adequate",Room2,the room was a little bit dirty.,Negative
120,"System: Please output the following [text] according to the [constraints] in the [output format].
 [constraints]* The output should only be in the [output format], and you must classify which part of the text corresponds to which Topic in the [Topics]. Additionally, determine whether each classified element is Positive or Negative. If there is no corresponding element, put Null for both `text` and `label`. No extra characters like newline, `json`, or backticks outside the [output format]. If there are multiple elements for the same Topic, number them. If they have the same label, group them together.* 
 [Topics] Room, Staff, Location, Food, Price, Facility, Check-in, Check-out, Taxi-issue, Booking-issue, Off 

 [output format] {""Topics"":[{""Room"":[{""text"": ""test"",""label"": ""Positive""}],""Staff"":[{""text"": null,""label"": null}],""Location"":[{""text"": ""test"",""label"": ""Positive""}],""Food"":[{""text"": ""test"",""label"": ""Negative""}],""Price"":[{""text"": ""test"",""label"": ""Positive""}],""Facility"":[{""text"": ""test"",""label"": ""Negative""}],""Check-in"":[{""text"": ""test"",""label"": ""Positive""}],""Check-out"":[{""text"": null,""label"": null}],""Taxi-issue"":[{""text"": null,""label"": null}],""Booking-issue"":[{""text"": null,""label"": null}],""Off"":[{""text"": null,""label"": null}]}]}

User: The room is enough big. But the room was a little bit dirty.

Assistant: {""Topics"":[{""Room1"":[{""text"": ""The room is enough big."",""label"": ""Positive""}],""Room2"":[{""text"": ""the room was a little bit dirty."",""label"": ""Negative""}],""Staff"":[{""text"": null,""label"": null}],""Location"":[{""text"": null,""label"": null}],""Food"":[{""text"": null,""label"": null}],""Price"":[{""text"": null,""label"": null}],""Facility"":[{""text"": null,""label"": null}],""Check-in"":[{""text"": null,""label"": null}],""Check-out"":[{""text"": null,""label"": null}],""Taxi-issue"":[{""text"": null,""label"": null}],""Booking-issue"":[{""text"": null,""label"": null}],""Off"":[{""text"": null,""label"": null}]}]}

User: The room was small but adequate",Room3,The room was small but adequate,Neutral
120,"System: Please output the following [text] according to the [constraints] in the [output format].
 [constraints]* The output should only be in the [output format], and you must classify which part of the text corresponds to which Topic in the [Topics]. Additionally, determine whether each classified element is Positive or Negative. If there is no corresponding element, put Null for both `text` and `label`. No extra characters like newline, `json`, or backticks outside the [output format]. If there are multiple elements for the same Topic, number them. If they have the same label, group them together.* 
 [Topics] Room, Staff, Location, Food, Price, Facility, Check-in, Check-out, Taxi-issue, Booking-issue, Off 

 [output format] {""Topics"":[{""Room"":[{""text"": ""test"",""label"": ""Positive""}],""Staff"":[{""text"": null,""label"": null}],""Location"":[{""text"": ""test"",""label"": ""Positive""}],""Food"":[{""text"": ""test"",""label"": ""Negative""}],""Price"":[{""text"": ""test"",""label"": ""Positive""}],""Facility"":[{""text"": ""test"",""label"": ""Negative""}],""Check-in"":[{""text"": ""test"",""label"": ""Positive""}],""Check-out"":[{""text"": null,""label"": null}],""Taxi-issue"":[{""text"": null,""label"": null}],""Booking-issue"":[{""text"": null,""label"": null}],""Off"":[{""text"": null,""label"": null}]}]}

User: The room is enough big. But the room was a little bit dirty.

Assistant: {""Topics"":[{""Room1"":[{""text"": ""The room is enough big."",""label"": ""Positive""}],""Room2"":[{""text"": ""the room was a little bit dirty."",""label"": ""Negative""}],""Staff"":[{""text"": null,""label"": null}],""Location"":[{""text"": null,""label"": null}],""Food"":[{""text"": null,""label"": null}],""Price"":[{""text"": null,""label"": null}],""Facility"":[{""text"": null,""label"": null}],""Check-in"":[{""text"": null,""label"": null}],""Check-out"":[{""text"": null,""label"": null}],""Taxi-issue"":[{""text"": null,""label"": null}],""Booking-issue"":[{""text"": null,""label"": null}],""Off"":[{""text"": null,""label"": null}]}]}

User: The room was small but adequate",Staff,,
120,"System: Please output the following [text] according to the [constraints] in the [output format].
 [constraints]* The output should only be in the [output format], and you must classify which part of the text corresponds to which Topic in the [Topics]. Additionally, determine whether each classified element is Positive or Negative. If there is no corresponding element, put Null for both `text` and `label`. No extra characters like newline, `json`, or backticks outside the [output format]. If there are multiple elements for the same Topic, number them. If they have the same label, group them together.* 
 [Topics] Room, Staff, Location, Food, Price, Facility, Check-in, Check-out, Taxi-issue, Booking-issue, Off 

 [output format] {""Topics"":[{""Room"":[{""text"": ""test"",""label"": ""Positive""}],""Staff"":[{""text"": null,""label"": null}],""Location"":[{""text"": ""test"",""label"": ""Positive""}],""Food"":[{""text"": ""test"",""label"": ""Negative""}],""Price"":[{""text"": ""test"",""label"": ""Positive""}],""Facility"":[{""text"": ""test"",""label"": ""Negative""}],""Check-in"":[{""text"": ""test"",""label"": ""Positive""}],""Check-out"":[{""text"": null,""label"": null}],""Taxi-issue"":[{""text"": null,""label"": null}],""Booking-issue"":[{""text"": null,""label"": null}],""Off"":[{""text"": null,""label"": null}]}]}

User: The room is enough big. But the room was a little bit dirty.

Assistant: {""Topics"":[{""Room1"":[{""text"": ""The room is enough big."",""label"": ""Positive""}],""Room2"":[{""text"": ""the room was a little bit dirty."",""label"": ""Negative""}],""Staff"":[{""text"": null,""label"": null}],""Location"":[{""text"": null,""label"": null}],""Food"":[{""text"": null,""label"": null}],""Price"":[{""text"": null,""label"": null}],""Facility"":[{""text"": null,""label"": null}],""Check-in"":[{""text"": null,""label"": null}],""Check-out"":[{""text"": null,""label"": null}],""Taxi-issue"":[{""text"": null,""label"": null}],""Booking-issue"":[{""text"": null,""label"": null}],""Off"":[{""text"": null,""label"": null}]}]}

User: The room was small but adequate",Location,,
120,"System: Please output the following [text] according to the [constraints] in the [output format].
 [constraints]* The output should only be in the [output format], and you must classify which part of the text corresponds to which Topic in the [Topics]. Additionally, determine whether each classified element is Positive or Negative. If there is no corresponding element, put Null for both `text` and `label`. No extra characters like newline, `json`, or backticks outside the [output format]. If there are multiple elements for the same Topic, number them. If they have the same label, group them together.* 
 [Topics] Room, Staff, Location, Food, Price, Facility, Check-in, Check-out, Taxi-issue, Booking-issue, Off 

 [output format] {""Topics"":[{""Room"":[{""text"": ""test"",""label"": ""Positive""}],""Staff"":[{""text"": null,""label"": null}],""Location"":[{""text"": ""test"",""label"": ""Positive""}],""Food"":[{""text"": ""test"",""label"": ""Negative""}],""Price"":[{""text"": ""test"",""label"": ""Positive""}],""Facility"":[{""text"": ""test"",""label"": ""Negative""}],""Check-in"":[{""text"": ""test"",""label"": ""Positive""}],""Check-out"":[{""text"": null,""label"": null}],""Taxi-issue"":[{""text"": null,""label"": null}],""Booking-issue"":[{""text"": null,""label"": null}],""Off"":[{""text"": null,""label"": null}]}]}

User: The room is enough big. But the room was a little bit dirty.

Assistant: {""Topics"":[{""Room1"":[{""text"": ""The room is enough big."",""label"": ""Positive""}],""Room2"":[{""text"": ""the room was a little bit dirty."",""label"": ""Negative""}],""Staff"":[{""text"": null,""label"": null}],""Location"":[{""text"": null,""label"": null}],""Food"":[{""text"": null,""label"": null}],""Price"":[{""text"": null,""label"": null}],""Facility"":[{""text"": null,""label"": null}],""Check-in"":[{""text"": null,""label"": null}],""Check-out"":[{""text"": null,""label"": null}],""Taxi-issue"":[{""text"": null,""label"": null}],""Booking-issue"":[{""text"": null,""label"": null}],""Off"":[{""text"": null,""label"": null}]}]}

User: The room was small but adequate",Food,,
